
Predicted (weighted) excess deaths in 2020 during December

NOTE: April and May DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
United States had 68742 excess deaths (1.27% change)            |            1           |          New Mexico had 1048 excess deaths (1.65% change)            
California had 10077 excess deaths (1.4% change)                |            2           |          North Dakota had 299 excess deaths (1.5% change)            
Texas had 5379 excess deaths (1.29% change)                     |            3           |          Arizona had 2658 excess deaths (1.49% change)               
Ohio had 4905 excess deaths (1.44% change)                      |            4           |          Nevada had 1129 excess deaths (1.49% change)                
Pennsylvania had 4732 excess deaths (1.38% change)              |            5           |          South Dakota had 326 excess deaths (1.48% change)           
Illinois had 3105 excess deaths (1.32% change)                  |            6           |          Kansas had 1127 excess deaths (1.47% change)                
Arizona had 2658 excess deaths (1.49% change)                   |            7           |          Ohio had 4905 excess deaths (1.44% change)                  
Michigan had 2526 excess deaths (1.29% change)                  |            8           |          Wyoming had 164 excess deaths (1.43% change)                
Tennessee had 2114 excess deaths (1.31% change)                 |            9           |          Oklahoma had 1486 excess deaths (1.41% change)              
Indiana had 2051 excess deaths (1.34% change)                   |           10           |          California had 10077 excess deaths (1.4% change)            
Missouri had 1984 excess deaths (1.34% change)                  |           11           |          Pennsylvania had 4732 excess deaths (1.38% change)          
New York had 1688 excess deaths (1.19% change)                  |           12           |          Colorado had 1309 excess deaths (1.37% change)              
Florida had 1643 excess deaths (1.09% change)                   |           13           |          Missouri had 1984 excess deaths (1.34% change)              
Oklahoma had 1486 excess deaths (1.41% change)                  |           14           |          Indiana had 2051 excess deaths (1.34% change)               
Wisconsin had 1475 excess deaths (1.31% change)                 |           15           |          Delaware had 264 excess deaths (1.33% change)               
Alabama had 1445 excess deaths (1.3% change)                    |           16           |          Rhode Island had 303 excess deaths (1.33% change)           
Georgia had 1399 excess deaths (1.18% change)                   |           17           |          Iowa had 902 excess deaths (1.33% change)                   
New Jersey had 1389 excess deaths (1.21% change)                |           18           |          Montana had 280 excess deaths (1.32% change)                
Colorado had 1309 excess deaths (1.37% change)                  |           19           |          Illinois had 3105 excess deaths (1.32% change)              
Kentucky had 1210 excess deaths (1.27% change)                  |           20           |          Wisconsin had 1475 excess deaths (1.31% change)             
