
Predicted (weighted) excess deaths in 2020 between June and December

NOTE: February and March DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
United States had 335757 excess deaths (1.21% change)           |            1           |          South Dakota had 1838 excess deaths (1.42% change)          
Texas had 42021 excess deaths (1.37% change)                    |            2           |          Arizona had 13637 excess deaths (1.41% change)              
California had 36570 excess deaths (1.24% change)               |            3           |          North Dakota had 1496 excess deaths (1.39% change)          
Florida had 28117 excess deaths (1.24% change)                  |            4           |          Texas had 42021 excess deaths (1.37% change)                
Ohio had 15657 excess deaths (1.22% change)                     |            5           |          New Mexico had 3592 excess deaths (1.35% change)            
Arizona had 13637 excess deaths (1.41% change)                  |            6           |          Wyoming had 807 excess deaths (1.34% change)                
Georgia had 12880 excess deaths (1.27% change)                  |            7           |          Nevada had 4547 excess deaths (1.32% change)                
Illinois had 12768 excess deaths (1.21% change)                 |            8           |          Mississippi had 5643 excess deaths (1.31% change)           
Tennessee had 11146 excess deaths (1.26% change)                |            9           |          Montana had 1707 excess deaths (1.31% change)               
Pennsylvania had 10954 excess deaths (1.14% change)             |           10           |          South Carolina had 8455 excess deaths (1.3% change)         
Michigan had 10493 excess deaths (1.19% change)                 |           11           |          Idaho had 2322 excess deaths (1.3% change)                  
Missouri had 9592 excess deaths (1.26% change)                  |           12           |          Alabama had 8435 excess deaths (1.28% change)               
South Carolina had 8455 excess deaths (1.3% change)             |           13           |          Arkansas had 5096 excess deaths (1.28% change)              
Indiana had 8440 excess deaths (1.23% change)                   |           14           |          Alaska had 605 excess deaths (1.28% change)                 
Alabama had 8435 excess deaths (1.28% change)                   |           15           |          Georgia had 12880 excess deaths (1.27% change)              
Wisconsin had 7488 excess deaths (1.25% change)                 |           16           |          Kansas had 3929 excess deaths (1.26% change)                
Virginia had 7036 excess deaths (1.18% change)                  |           17           |          Tennessee had 11146 excess deaths (1.26% change)            
Louisiana had 6263 excess deaths (1.24% change)                 |           18           |          Missouri had 9592 excess deaths (1.26% change)              
Kentucky had 5812 excess deaths (1.21% change)                  |           19           |          Iowa had 4428 excess deaths (1.26% change)                  
