
Predicted (weighted) excess deaths in 2020 between March and June

NOTE: February and March DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
United States had 169447 excess deaths (1.18% change)           |            1           |          New Jersey had 17163 excess deaths (1.71% change)           
New Jersey had 17163 excess deaths (1.71% change)               |            2           |          Connecticut had 4324 excess deaths (1.42% change)           
New York had 12819 excess deaths (1.39% change)                 |            3           |          Massachusetts had 7667 excess deaths (1.39% change)         
Illinois had 8705 excess deaths (1.25% change)                  |            4           |          New York had 12819 excess deaths (1.39% change)             
California had 8491 excess deaths (1.1% change)                 |            5           |          Maryland had 4819 excess deaths (1.3% change)               
Massachusetts had 7667 excess deaths (1.39% change)             |            6           |          Delaware had 793 excess deaths (1.28% change)               
Michigan had 7397 excess deaths (1.23% change)                  |            7           |          Louisiana had 4195 excess deaths (1.28% change)             
Texas had 7087 excess deaths (1.11% change)                     |            8           |          Rhode Island had 912 excess deaths (1.28% change)           
Pennsylvania had 6511 excess deaths (1.14% change)              |            9           |          Illinois had 8705 excess deaths (1.25% change)              
Florida had 6339 excess deaths (1.09% change)                   |           10           |          Michigan had 7397 excess deaths (1.23% change)              
Maryland had 4819 excess deaths (1.3% change)                   |           11           |          Colorado had 2581 excess deaths (1.2% change)               
Georgia had 4411 excess deaths (1.16% change)                   |           12           |          Arizona had 3863 excess deaths (1.2% change)                
Connecticut had 4324 excess deaths (1.42% change)               |           13           |          United States had 169447 excess deaths (1.18% change)       
Louisiana had 4195 excess deaths (1.28% change)                 |           14           |          Mississippi had 1727 excess deaths (1.17% change)           
Arizona had 3863 excess deaths (1.2% change)                    |           15           |          Georgia had 4411 excess deaths (1.16% change)               
Ohio had 3452 excess deaths (1.09% change)                      |           16           |          New Mexico had 935 excess deaths (1.16% change)             
Indiana had 3355 excess deaths (1.16% change)                   |           17           |          Indiana had 3355 excess deaths (1.16% change)               
Virginia had 3271 excess deaths (1.15% change)                  |           18           |          Virginia had 3271 excess deaths (1.15% change)              
North Carolina had 3009 excess deaths (1.1% change)             |           19           |          Pennsylvania had 6511 excess deaths (1.14% change)          
Colorado had 2581 excess deaths (1.2% change)                   |           20           |          South Carolina had 2246 excess deaths (1.14% change)        
South Carolina had 2246 excess deaths (1.14% change)            |           21           |          Minnesota had 1945 excess deaths (1.14% change)             
Alabama had 1962 excess deaths (1.11% change)                   |           22           |          New Hampshire had 488 excess deaths (1.13% change)          
Minnesota had 1945 excess deaths (1.14% change)                 |           23           |          Alabama had 1962 excess deaths (1.11% change)               
Tennessee had 1919 excess deaths (1.08% change)                 |           24           |          Texas had 7087 excess deaths (1.11% change)                 
Mississippi had 1727 excess deaths (1.17% change)               |           25           |          North Carolina had 3009 excess deaths (1.1% change)         
Wisconsin had 1652 excess deaths (1.1% change)                  |           26           |          Wisconsin had 1652 excess deaths (1.1% change)              
Missouri had 1581 excess deaths (1.08% change)                  |           27           |          Nevada had 807 excess deaths (1.1% change)                  
Washington had 1324 excess deaths (1.07% change)                |           28           |          California had 8491 excess deaths (1.1% change)             
New Mexico had 935 excess deaths (1.16% change)                 |           29           |          Florida had 6339 excess deaths (1.09% change)               
Rhode Island had 912 excess deaths (1.28% change)               |           30           |          North Dakota had 190 excess deaths (1.09% change)           
Kentucky had 902 excess deaths (1.06% change)                   |           31           |          Ohio had 3452 excess deaths (1.09% change)                  
Nevada had 807 excess deaths (1.1% change)                      |           32           |          Tennessee had 1919 excess deaths (1.08% change)             
Delaware had 793 excess deaths (1.28% change)                   |           33           |          Missouri had 1581 excess deaths (1.08% change)              
Iowa had 630 excess deaths (1.06% change)                       |           34           |          Washington had 1324 excess deaths (1.07% change)            
Oklahoma had 497 excess deaths (1.04% change)                   |           35           |          Vermont had 122 excess deaths (1.07% change)                
Arkansas had 496 excess deaths (1.05% change)                   |           36           |          Wyoming had 91 excess deaths (1.07% change)                 
New Hampshire had 488 excess deaths (1.13% change)              |           37           |          Utah had 411 excess deaths (1.07% change)                   
Oregon had 466 excess deaths (1.04% change)                     |           38           |          Iowa had 630 excess deaths (1.06% change)                   
Utah had 411 excess deaths (1.07% change)                       |           39           |          Kentucky had 902 excess deaths (1.06% change)               
West Virginia had 299 excess deaths (1.04% change)              |           40           |          Idaho had 237 excess deaths (1.05% change)                  
Kansas had 283 excess deaths (1.03% change)                     |           41           |          Arkansas had 496 excess deaths (1.05% change)               
Nebraska had 249 excess deaths (1.05% change)                   |           42           |          Nebraska had 249 excess deaths (1.05% change)               
Idaho had 237 excess deaths (1.05% change)                      |           43           |          West Virginia had 299 excess deaths (1.04% change)          
