
Predicted (weighted) excess deaths in 2021 between January and February

NOTE: February and March DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
United States had 17976 excess deaths (1.04% change)            |            1           |          Arizona had 4532 excess deaths (1.45% change)               
California had 11763 excess deaths (1.25% change)               |            2           |          California had 11763 excess deaths (1.25% change)           
Texas had 5058 excess deaths (1.15% change)                     |            3           |          South Carolina had 1962 excess deaths (1.24% change)        
Arizona had 4532 excess deaths (1.45% change)                   |            4           |          Nevada had 871 excess deaths (1.2% change)                  
Florida had 3175 excess deaths (1.09% change)                   |            5           |          New York had 3075 excess deaths (1.18% change)              
New York had 3075 excess deaths (1.18% change)                  |            6           |          Alabama had 1523 excess deaths (1.17% change)               
Ohio had 2296 excess deaths (1.11% change)                      |            7           |          Georgia had 2167 excess deaths (1.15% change)               
Georgia had 2167 excess deaths (1.15% change)                   |            8           |          Virginia had 1731 excess deaths (1.15% change)              
South Carolina had 1962 excess deaths (1.24% change)            |            9           |          Texas had 5058 excess deaths (1.15% change)                 
Virginia had 1731 excess deaths (1.15% change)                  |           10           |          Mississippi had 739 excess deaths (1.14% change)            
Pennsylvania had 1715 excess deaths (1.07% change)              |           11           |          Tennessee had 1576 excess deaths (1.13% change)             
Tennessee had 1576 excess deaths (1.13% change)                 |           12           |          Ohio had 2296 excess deaths (1.11% change)                  
Alabama had 1523 excess deaths (1.17% change)                   |           13           |          New Jersey had 1275 excess deaths (1.1% change)             
New Jersey had 1275 excess deaths (1.1% change)                 |           14           |          Wyoming had 63 excess deaths (1.09% change)                 
Nevada had 871 excess deaths (1.2% change)                      |           15           |          Florida had 3175 excess deaths (1.09% change)               
Maryland had 752 excess deaths (1.09% change)                   |           16           |          Maryland had 752 excess deaths (1.09% change)               
Mississippi had 739 excess deaths (1.14% change)                |           17           |          Utah had 273 excess deaths (1.09% change)                   
Arkansas had 334 excess deaths (1.06% change)                   |           18           |          Pennsylvania had 1715 excess deaths (1.07% change)          
Kansas had 297 excess deaths (1.07% change)                     |           19           |          Kansas had 297 excess deaths (1.07% change)                 
Utah had 273 excess deaths (1.09% change)                       |           20           |          Arkansas had 334 excess deaths (1.06% change)               
Colorado had 222 excess deaths (1.03% change)                   |           21           |          United States had 17976 excess deaths (1.04% change)        
Illinois had 208 excess deaths (1.01% change)                   |           22           |          Colorado had 222 excess deaths (1.03% change)               
Wyoming had 63 excess deaths (1.09% change)                     |           23           |          Maine had 26 excess deaths (1.01% change)                   
Maine had 26 excess deaths (1.01% change)                       |           24           |          Illinois had 208 excess deaths (1.01% change)               
New Hampshire had 20 excess deaths (1.01% change)               |           25           |          New Hampshire had 20 excess deaths (1.01% change)           
New Mexico had 11 excess deaths (1.0% change)                   |           26           |          New Mexico had 11 excess deaths (1.0% change)               
Michigan had 2 excess deaths (1.0% change)                      |           27           |          Michigan had 2 excess deaths (1.0% change)                  
Oklahoma had -6 excess deaths (1.0% change)                     |           28           |          Oklahoma had -6 excess deaths (1.0% change)                 
